Open;High;Low;Close;Adj Close;Volume
310.510010;319.989990;307.250000;317.940002;317.940002;11961800
318.859985;327.690002;316.299988;326.459991;326.459991;10798500
328.790009;336.000000;327.500000;335.779999;335.779999;10847500
335.980011;336.399994;328.769989;332.700012;332.700012;5782800
329.200012;329.649994;323.230011;325.929993;325.929993;6029300
325.160004;331.769989;318.529999;322.989990;322.989990;6259500
324.250000;328.579987;318.739990;319.500000;319.500000;6563200
317.489990;319.410004;311.799988;318.829987;318.829987;6280300
310.959991;313.420013;304.679993;307.630005;307.630005;8692500
310.579987;311.880005;305.299988;310.100006;310.100006;6179100
302.559998;305.000000;296.809998;304.290009;304.290009;9322400
311.029999;316.359985;306.630005;315.899994;315.899994;5905900
313.739990;316.640015;305.679993;308.929993;308.929993;5349100
305.459991;312.890015;303.239990;310.829987;310.829987;6531700
309.769989;316.429993;308.160004;312.279999;312.279999;5289400
308.010010;308.410004;298.010010;299.109985;299.109985;7355800
299.500000;300.630005;288.000000;295.760010;295.760010;9629200
298.859985;303.549988;296.269989;302.799988;302.799988;6905800
306.250000;311.750000;304.750000;309.380005;309.380005;4942200
304.570007;305.000000;297.679993;298.989990;298.989990;7349900
301.609985;302.880005;296.200012;297.809998;297.809998;5685400
298.649994;300.329987;293.149994;296.929993;296.929993;4974200
295.000000;299.010010;290.320007;291.440002;291.440002;6324900
295.239990;296.950012;292.500000;294.980011;294.980011;4695700
294.540009;296.769989;287.200012;291.029999;291.029999;6309400
289.470001;292.820007;287.750000;291.769989;291.769989;3955700
295.000000;299.929993;294.989990;296.779999;296.779999;4388500
298.779999;298.940002;290.850006;293.750000;293.750000;4446400
290.820007;293.899994;288.059998;289.290009;289.290009;3682800
291.250000;292.380005;286.510010;291.519989;291.519989;4652500
285.320007;293.970001;282.790009;293.250000;293.250000;8966800
293.350006;293.350006;287.029999;290.170013;290.170013;5166600
294.809998;301.549988;290.600006;294.339996;294.339996;8232700
291.160004;297.170013;282.660004;287.989990;287.989990;12320200
285.700012;292.649994;284.609985;288.269989;288.269989;7405900
288.100006;292.730011;286.600006;288.859985;288.859985;5010900
290.609985;296.619995;290.040009;294.149994;294.149994;6583100
294.230011;297.429993;289.779999;294.290009;294.290009;5307400
